Title,Price,No. Reviews,Display size,Storage type,CPU Speed,RAM,Rating
"ASUS M509 15.6-inch Laptop, AMD Ryzen 3 3250U, 20 GB RAM, 256 GB SSD, Windows 10 Pro",599.0,8,15.6 in,SSD,3.5 GHz,20 GB,4.5 out of 5 stars
"CHUWI HeroBook Pro+ Laptop, 13.3-inch 3K (3200x1800) IPS Display, Intel Celeron J3455 Processor, 8GB RAM, 128GB EMMC, Windows 10 Home, 4K Video Decoding, 2.4G/5G WiFi, BT5.0, HDMI, Gray",299.0,272,13.3 in,SSD,1.5 GHz,8 GB,4.0 out of 5 stars
"Lenovo IdeaPad 1 11'' Laptop - AMD 3020e Processor, 4GB RAM, 64GB Storage, Windows 10S, Ice Blue",238.0,83,11.6 in,Embedded MultiMediaCard,1.2 GHz,4 GB,4.5 out of 5 stars
"ASUS M509 15.6-inch Laptop, AMD Ryzen 3 3250U, 20 GB RAM, 256 GB SSD, Windows 10 Pro",599.0,8,15.6 in,SSD,3.5 GHz,20 GB,4.5 out of 5 stars
"ASUS ZenBook UX425EA 14 inch Full HD 300nits Laptop (Intel i7-1165G7, 16GB RAM, 512GB SSD, 32GB Intel Optane Memory, Backlit Keyboard, Windows 10) Includes USB-C to audio jack adapte",949.99,103,14 in,SSD,2.8 GHz,16 GB,4.4 out of 5 stars
"HP Stream 14-cm0045na 14 Inch Laptop - (Blue) (AMD A4-9125 Dual Core, 4 GB RAM, 64 GB eMMC, 1 TB OneDrive and Office 365, 1 Year Subscription Included, Windows 10 Home)",399.0,464,14 in,Mechanical Hard Drive,2.3 GHz,4 GB,4.4 out of 5 stars
"New Lenovo Quad Turbo Laptop, 8GB RAM, 256GB SSD, RX Vega Graphics, Win 10 Pro, Office 2019",638.88,46,15.6 in,SSD,3.3 GHz,8 GB,4.9 out of 5 stars
"HP EliteBook 820 G1 12-inch Ultrabook Laptop PC (Intel Core i5-4300U, 8GB RAM, 180GB SSD, WiFi, WebCam, Windows 10 Professional 64-bit) (Renewed)",319.98,59,12.5 in,SSD,2.3 GHz,8 GB,4.2 out of 5 stars
"Lenovo V145 A6 15.6-inch Laptop, AMD A6-9225, 16GB RAM, 480GB SSD, DVD+RW, Windows 10 Pro",499.0,10,15.6 in,SSD,2.6 GHz,16 GB,3.6 out of 5 stars
"HP Envy 13-ba0010na 13.3-Inch Full HD Touch-screen Laptop (Natural Silver) (Intel Core i7-10510U, 16 GB RAM, 1 TB SSD, NVIDIA GeForce MX350 (2 GB Dedicated Graphics), Windows 10 Home)",1149.99,350,13.3 in,Flash Memory Solid State,1.8 GHz,16 GB,4.4 out of 5 stars
"Lenovo V145 A6 15.6-inch Laptop, AMD A6-9225, 16GB RAM, 480GB SSD, DVD+RW, Windows 10 Pro",499.0,10,15.6 in,SSD,2.6 GHz,16 GB,3.6 out of 5 stars
"Dell Inspiron 3501 15.6 Inch FHD (1920 x 1080) Laptop, Intel Core i5-1135G7 Processor (4.2 GHz), 8 GB RAM, 512 GB NVMe SSD, Waves MaxxAudio Pro, Windows 10 Home",649.0,60,15.6 in,Flash Memory Solid State,4.2 GHz,8 GB,4.5 out of 5 stars
